id,formula,description
0_Ag2BiO3,Ag 2 Bi 1 O 3,"Ag 2 Bi 1 O 3 has PymatgenData minimum row of 20, PymatgenData maximum row of 60, PymatgenData mean row of 37, PymatgenData std dev row of 22, PymatgenData minimum group of 110, PymatgenData maximum group of 16, PymatgenData mean group of 14, PymatgenData std dev group of 29, PymatgenData minimum block of 20, PymatgenData maximum block of 30, PymatgenData mean block of 23, PymatgenData std dev block of 60, PymatgenData minimum atomic mass of 16, PymatgenData maximum atomic mass of 21, PymatgenData mean atomic mass of 79, PymatgenData std dev atomic mass of 91, PymatgenData minimum atomic radius of 60, PymatgenData maximum atomic radius of 16, PymatgenData mean atomic radius of 11, PymatgenData std dev atomic radius of 64."
1_Ag2CO3,Ag 2 C 1 O 3,"Ag 2 C 1 O 3 has PymatgenData minimum row of 20, PymatgenData maximum row of 50, PymatgenData mean row of 30, PymatgenData std dev row of 18, PymatgenData minimum group of 110, PymatgenData maximum group of 16, PymatgenData mean group of 14, PymatgenData std dev group of 29, PymatgenData minimum block of 20, PymatgenData maximum block of 30, PymatgenData mean block of 23, PymatgenData std dev block of 60, PymatgenData minimum atomic mass of 12, PymatgenData maximum atomic mass of 11, PymatgenData mean atomic mass of 46, PymatgenData std dev atomic mass of 56, PymatgenData minimum atomic radius of 60, PymatgenData maximum atomic radius of 16, PymatgenData mean atomic radius of 10, PymatgenData std dev atomic radius of 59."
2_Ag2GePbS4,Ag 2 Ge 1 Pb 1 S 4,"Ag 2 Ge 1 Pb 1 S 4 has PymatgenData minimum row of 30, PymatgenData maximum row of 60, PymatgenData mean row of 40, PymatgenData std dev row of 14, PymatgenData minimum group of 110, PymatgenData maximum group of 16, PymatgenData mean group of 14, PymatgenData std dev group of 25, PymatgenData minimum block of 20, PymatgenData maximum block of 30, PymatgenData mean block of 22, PymatgenData std dev block of 53, PymatgenData minimum atomic mass of 32, PymatgenData maximum atomic mass of 21, PymatgenData mean atomic mass of 78, PymatgenData std dev atomic mass of 72, PymatgenData minimum atomic radius of 100, PymatgenData maximum atomic radius of 18, PymatgenData mean atomic radius of 13, PymatgenData std dev atomic radius of 39."
3_Ag2GeS3,Ag 2 Ge 1 S 3,"Ag 2 Ge 1 S 3 has PymatgenData minimum row of 30, PymatgenData maximum row of 50, PymatgenData mean row of 38, PymatgenData std dev row of 11, PymatgenData minimum group of 110, PymatgenData maximum group of 16, PymatgenData mean group of 14, PymatgenData std dev group of 29, PymatgenData minimum block of 20, PymatgenData maximum block of 30, PymatgenData mean block of 23, PymatgenData std dev block of 60, PymatgenData minimum atomic mass of 32, PymatgenData maximum atomic mass of 11, PymatgenData mean atomic mass of 64, PymatgenData std dev atomic mass of 44, PymatgenData minimum atomic radius of 100, PymatgenData maximum atomic radius of 16, PymatgenData mean atomic radius of 12, PymatgenData std dev atomic radius of 34."
4_Ag2HgO2,Ag 2 Hg 1 O 2,"Ag 2 Hg 1 O 2 has PymatgenData minimum row of 20, PymatgenData maximum row of 60, PymatgenData mean row of 40, PymatgenData std dev row of 21, PymatgenData minimum group of 110, PymatgenData maximum group of 16, PymatgenData mean group of 13, PymatgenData std dev group of 29, PymatgenData minimum block of 20, PymatgenData maximum block of 30, PymatgenData mean block of 26, PymatgenData std dev block of 61, PymatgenData minimum atomic mass of 16, PymatgenData maximum atomic mass of 20, PymatgenData mean atomic mass of 90, PymatgenData std dev atomic mass of 86, PymatgenData minimum atomic radius of 60, PymatgenData maximum atomic radius of 16, PymatgenData mean atomic radius of 12, PymatgenData std dev atomic radius of 59."
5_Ag2Mo2O7,Ag 2 Mo 2 O 7,"Ag 2 Mo 2 O 7 has PymatgenData minimum row of 20, PymatgenData maximum row of 50, PymatgenData mean row of 31, PymatgenData std dev row of 20, PymatgenData minimum group of 60, PymatgenData maximum group of 16, PymatgenData mean group of 13, PymatgenData std dev group of 54, PymatgenData minimum block of 20, PymatgenData maximum block of 30, PymatgenData mean block of 24, PymatgenData std dev block of 66, PymatgenData minimum atomic mass of 16, PymatgenData maximum atomic mass of 11, PymatgenData mean atomic mass of 47, PymatgenData std dev atomic mass of 57, PymatgenData minimum atomic radius of 60, PymatgenData maximum atomic radius of 16, PymatgenData mean atomic radius of 9, PymatgenData std dev atomic radius of 61."
6_Ag2MoO4,Ag 2 Mo 1 O 4,"Ag 2 Mo 1 O 4 has PymatgenData minimum row of 20, PymatgenData maximum row of 50, PymatgenData mean row of 33, PymatgenData std dev row of 20, PymatgenData minimum group of 60, PymatgenData maximum group of 16, PymatgenData mean group of 13, PymatgenData std dev group of 48, PymatgenData minimum block of 20, PymatgenData maximum block of 30, PymatgenData mean block of 24, PymatgenData std dev block of 65, PymatgenData minimum atomic mass of 16, PymatgenData maximum atomic mass of 11, PymatgenData mean atomic mass of 54, PymatgenData std dev atomic mass of 58, PymatgenData minimum atomic radius of 60, PymatgenData maximum atomic radius of 16, PymatgenData mean atomic radius of 10, PymatgenData std dev atomic radius of 62."
7_Ag2P2PbO7,Ag 2 P 2 Pb 1 O 7,"Ag 2 P 2 Pb 1 O 7 has PymatgenData minimum row of 20, PymatgenData maximum row of 60, PymatgenData mean row of 30, PymatgenData std dev row of 18, PymatgenData minimum group of 110, PymatgenData maximum group of 16, PymatgenData mean group of 15, PymatgenData std dev group of 24, PymatgenData minimum block of 20, PymatgenData maximum block of 30, PymatgenData mean block of 22, PymatgenData std dev block of 48, PymatgenData minimum atomic mass of 16, PymatgenData maximum atomic mass of 21, PymatgenData mean atomic mass of 50, PymatgenData std dev atomic mass of 75, PymatgenData minimum atomic radius of 60, PymatgenData maximum atomic radius of 18, PymatgenData mean atomic radius of 9, PymatgenData std dev atomic radius of 58."
8_Ag2SeO3,Ag 2 Se 1 O 3,"Ag 2 Se 1 O 3 has PymatgenData minimum row of 20, PymatgenData maximum row of 50, PymatgenData mean row of 33, PymatgenData std dev row of 18, PymatgenData minimum group of 110, PymatgenData maximum group of 16, PymatgenData mean group of 14, PymatgenData std dev group of 30, PymatgenData minimum block of 20, PymatgenData maximum block of 30, PymatgenData mean block of 23, PymatgenData std dev block of 60, PymatgenData minimum atomic mass of 16, PymatgenData maximum atomic mass of 11, PymatgenData mean atomic mass of 57, PymatgenData std dev atomic mass of 54, PymatgenData minimum atomic radius of 60, PymatgenData maximum atomic radius of 16, PymatgenData mean atomic radius of 10, PymatgenData std dev atomic radius of 58."
9_Ag2SeO4,Ag 2 Se 1 O 4,"Ag 2 Se 1 O 4 has PymatgenData minimum row of 20, PymatgenData maximum row of 50, PymatgenData mean row of 31, PymatgenData std dev row of 18, PymatgenData minimum group of 110, PymatgenData maximum group of 16, PymatgenData mean group of 15, PymatgenData std dev group of 30, PymatgenData minimum block of 20, PymatgenData maximum block of 30, PymatgenData mean block of 23, PymatgenData std dev block of 60, PymatgenData minimum atomic mass of 16, PymatgenData maximum atomic mass of 11, PymatgenData mean atomic mass of 51, PymatgenData std dev atomic mass of 55, PymatgenData minimum atomic radius of 60, PymatgenData maximum atomic radius of 16, PymatgenData mean atomic radius of 10, PymatgenData std dev atomic radius of 59."
